time,center_of_mass,eccentricity,variance_of_radius,mean_radius,rna_amount,c_light,c_dense,volume,velocity,aspect,smoothed_distance,smoothed_velocity,Mc,Mm,Chi,kp,kd,sigma,alpha,cplus,cminus,analytical_velocity,analytical_velocity_normV,analytical_velocity_avgR
4589.19775390625,1.6398219931080615,0.4130408922274891,0.0150275688100001,3.6944422659219,9.70359416420254,3.509453773498535,4.408802509307861,43.64450249970399,-0.0031033885894248,1.0980413927429171,1.663991738890355,0.003002309358951044,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0030865679240558684,0.10779100434191542,0.003473552729308155
4559.19775390625,1.7407550496058368,0.4146805289491053,0.0169273009292914,3.6930282133950585,9.70359416420254,3.509467124938965,4.407891273498535,43.679031379318225,-0.0041944550853776,1.0989408724219631,1.7551736165889402,0.0030950046095706008,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0032209241358091855,0.1119726006835093,0.00361787782592434
4529.19775390625,1.831193683346598,0.4692181530278361,0.0224627677584732,3.692539993019462,9.70359416420254,3.5095670223236084,4.4077863693237305,43.60997362307746,-0.0042759319992477,1.132397303397647,1.8514421103271093,0.003267521635483134,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0033555576110242003,0.11612502635757098,0.0037627553009286193
4499.19775390625,1.9254984477116772,0.4796831947819024,0.027449707739546,3.6964575084190368,9.70359416420254,3.509671688079834,4.407623767852783,43.540915866794066,-0.0033605402755958,1.139676787438084,1.951870413062449,0.0034430257781222356,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0034822799111387396,0.12014337374206727,0.0039054565145627156
4469.19775390625,2.02517769518425,0.4773700118603716,0.0320014350030143,3.691675557368655,9.70359416420254,3.5097241401672363,4.406469821929932,43.55818030723509,-0.0031851092077641,1.1380417571473502,2.0570993175309447,0.003556152059332046,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0036211644076112577,0.12402348196394099,0.004045654622256801
4439.19775390625,2.1476727254916645,0.5161970566621351,0.0377452316155819,3.6862181920033272,9.70359416420254,3.5099308490753174,4.406874656677246,43.38553591610983,-0.0047665893874457,1.1675834281723028,2.166939929516537,0.0037555027829105775,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.003757979053692965,0.12769995671835885,0.004181476833146417
4419.19775390625,2.212029477716258,0.5187931700922704,0.0423527733734815,3.673880912309494,9.70359416420254,3.510024309158325,4.406527042388916,43.33374259910555,-0.0036153249451182,1.1697277442606946,2.2424575928411405,0.003832099170095471,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.003860327758496076,0.1300021495244887,0.004268681715781954
4389.19775390625,2.3346582296899774,0.5375122533783967,0.0509920069961413,3.691052143604864,9.70359416420254,3.5101430416107178,4.405419826507568,43.29921372236977,-0.0043496047809186,1.1858795824469637,2.360701658083772,0.004012930205027951,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.003955087465403692,0.13323979083627194,0.0043940985527022546
4369.19775390625,2.4055934297851964,0.5478538229120486,0.0522011357708271,3.674395327981157,9.70359416420254,3.510343074798584,4.405928611755371,43.12656933068056,-0.0035393647870892,1.1953514049379383,2.4421862078611323,0.004161043021913655,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.004058309315648897,0.1352048368584066,0.0044730142321971365
4339.19775390625,2.5369781363740698,0.574195026355037,0.0656647866876177,3.679646895721072,9.70359416420254,3.510514259338379,4.404733657836914,43.05751157625544,-0.0045497901272656,1.2214209563647973,2.5689954931384245,0.004304062375224071,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.004159966772374114,0.13784153555593356,0.004583370891084256
4319.19775390625,2.626102438714658,0.569548242064551,0.0661649077613368,3.6606291696000546,9.70359416420254,3.510612964630127,4.403573513031006,43.040247138717895,-0.0041251415223782,1.2166073130553334,2.6566702701468374,0.004430676818566959,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.004258532467933936,0.13936141839088967,0.004650631784586833
